time;A;Bb;B;C;C#;D;D#;E;F;F#;G;G#;A pf;Bb pf;B pf;C pf;C# pf;D pf;D# pf;E pf;F pf;F# pf;G pf;G# pf
194.05;0/1;885735/856064;688905/622592;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;None;Some([-6, 11, 1, 0, -1, 0, 0, -1]);Some([-6, 9, 1, 1, 0, 0, 0, -1]);None;None;None;None;None;None;None;None;None
206.9;13286025/13697024;0/1;15057495/13697024;7971615/6848512;885735/720896;4428675/3424256;18600435/13697024;885735/622592;2657205/1712128;177147/107008;11514555/6848512;6200145/3424256;Some([-7, 12, 2, 0, -1, 0, 0, -1]);None;Some([-6, 11, 1, 0, -1, 0, 1, -1]);Some([-7, 13, 1, 0, -1, 0, 0, -1]);Some([-6, 11, 1, 0, -1]);Some([-6, 11, 2, 0, -1, 0, 0, -1]);Some([-7, 12, 1, 1, -1, 0, 0, -1]);Some([-6, 11, 1, 0, 0, 0, 0, -1]);Some([-6, 12, 1, 0, -1, 0, 0, -1]);Some([-5, 11, 0, 0, -1, 0, 0, -1]);Some([-6, 11, 1, 0, -1, 1, 0, -1]);Some([-6, 11, 1, 1, -1, 0, 0, -1])
210.62;0/1;0/1;2657205/2342912;0/1;0/1;6200145/4685824;0/1;0/1;0/1;7971615/4685824;0/1;4428675/2342912;None;None;Some([-6, 12, 1, 0, -1, -1]);None;None;Some([-6, 11, 1, 1, -1, -1]);None;None;None;Some([-6, 13, 1, 0, -1, -1]);None;Some([-5, 11, 2, 0, -1, -1])
212.2;0/1;0/1;15057495/13697024;0/1;0/1;4428675/3424256;0/1;885735/622592;0/1;177147/107008;0/1;6200145/3424256;None;None;Some([-6, 11, 1, 0, -1, 0, 1, -1]);None;None;Some([-6, 11, 2, 0, -1, 0, 0, -1]);None;Some([-6, 11, 1, 0, 0, 0, 0, -1]);None;Some([-5, 11, 0, 0, -1, 0, 0, -1]);None;Some([-6, 11, 1, 1, -1, 0, 0, -1])
215.19;0/1;885735/856064;0/1;492075/428032;32805/26752;0/1;295245/214016;0/1;164025/107008;0/1;1476225/856064;98415/53504;None;Some([-6, 11, 1, 0, -1, 0, 0, -1]);None;Some([-5, 9, 2, 0, -1, 0, 0, -1]);Some([-4, 8, 1, 0, -1, 0, 0, -1]);None;Some([-5, 10, 1, 0, -1, 0, 0, -1]);None;Some([-4, 8, 2, 0, -1, 0, 0, -1]);None;Some([-5, 10, 2, 0, -1, 0, 0, -1]);Some([-4, 9, 1, 0, -1, 0, 0, -1])
218.75;25515/26752;0/1;3645/3344;0/1;32805/26752;0/1;18225/13376;0/1;3645/2432;10935/6688;0/1;0/1;Some([-4, 6, 1, 1, -1, 0, 0, -1]);None;Some([-3, 6, 1, 0, -1, 0, 0, -1]);None;Some([-4, 8, 1, 0, -1, 0, 0, -1]);None;Some([-3, 6, 2, 0, -1, 0, 0, -1]);None;Some([-3, 6, 1, 0, 0, 0, 0, -1]);Some([-3, 7, 1, 0, -1, 0, 0, -1]);None;None
221.5;405/418;0/1;0/1;0/1;44955/36784;0/1;25515/18392;1215/836;0/1;3645/2299;15795/9196;0/1;Some([-2, 4, 1, 0, -1, 0, 0, -1]);None;None;None;Some([-2, 5, 1, 0, -2, 0, 0, -1, 0, 0, 0, 1]);None;Some([-3, 6, 1, 1, -2, 0, 0, -1]);Some([-2, 5, 1, 0, -1, 0, 0, -1]);None;Some([-2, 6, 1, 0, -2, 0, 0, -1]);Some([-2, 5, 1, 0, -2, 1, 0, -1]);None
224.3;0/1;584415/588544;0/1;314685/294272;0/1;0/1;404595/294272;0/1;224775/147136;944055/588544;0/1;134865/73568;None;Some([-3, 5, 1, 0, -2, 1, 0, -1, 0, 0, 0, 1]);None;Some([-3, 5, 1, 1, -2, 0, 0, -1, 0, 0, 0, 1]);None;None;Some([-3, 7, 1, 0, -2, 0, 0, -1, 0, 0, 0, 1]);None;Some([-2, 5, 2, 0, -2, 0, 0, -1, 0, 0, 0, 1]);Some([-3, 6, 1, 1, -2, 0, 0, -1, 0, 0, 0, 1]);None;Some([-2, 6, 1, 0, -2, 0, 0, -1, 0, 0, 0, 1])
228.1;0/1;0/1;4995/4598;0/1;0/1;68265/52877;0/1;0/1;0/1;14985/9196;0/1;0/1;None;None;Some([-1, 3, 1, 0, -2, 0, 0, -1, 0, 0, 0, 1]);None;None;Some([0, 2, 1, 0, -2, 0, 0, -1, -1, 0, 0, 1, 1]);None;None;None;Some([-1, 4, 1, 0, -2, 0, 0, -1, 0, 0, 0, 1]);None;None
229.36;0/1;0/1;12082905/10998416;477855/423016;0/1;0/1;0/1;614385/423016;0/1;341325/211508;0/1;0/1;None;None;Some([-1, 3, 1, 0, -2, -1, 0, -1, -1, 0, 0, 1, 1, 0, 0, 0, 1]);Some([-1, 2, 1, 1, -2, 0, 0, -1, -1, 0, 0, 1, 1]);None;None;None;Some([-1, 4, 1, 0, -2, 0, 0, -1, -1, 0, 0, 1, 1]);None;Some([0, 2, 2, 0, -2, 0, 0, -1, -1, 0, 0, 1, 1]);None;None
