time;A;Bb;B;C;C#;D;D#;E;F;F#;G;G#;A pf;Bb pf;B pf;C pf;C# pf;D pf;D# pf;E pf;F pf;F# pf;G pf;G# pf
64.188;0/1;0/1;0/1;0/1;0/1;0/1;155/112;0/1;0/1;0/1;0/1;0/1;None;None;None;None;None;None;Some([0, 0, 1, -1, 0, 0, 0, 0, 0, 0, 1]);None;None;None;None;None
66.438;0/1;0/1;0/1;0/1;0/1;0/1;45/32;0/1;0/1;0/1;0/1;0/1;None;None;None;None;None;None;Some([-1, 2, 1]);None;None;None;None;None
69.338;0/1;0/1;0/1;0/1;0/1;0/1;65/48;0/1;0/1;0/1;0/1;0/1;None;None;None;None;None;None;Some([0, -1, 1, 0, 0, 1]);None;None;None;None;None
74.063;0/1;0/1;0/1;0/1;165/128;0/1;45/32;0/1;0/1;0/1;225/128;0/1;None;None;None;None;Some([-1, 1, 1, 0, 1]);None;Some([-1, 2, 1]);None;None;None;Some([-1, 2, 2]);None
77.1;0/1;0/1;0/1;0/1;81225/65536;0/1;0/1;0/1;0/1;0/1;0/1;0/1;None;None;None;None;Some([-2, 2, 2, 0, 0, 0, 0, 2]);None;None;None;None;None;None;None
77.17;16245/16384;135/128;0/1;308655/262144;0/1;0/1;0/1;48735/32768;828495/524288;855/512;225/128;0/1;Some([-2, 2, 1, 0, 0, 0, 0, 2]);Some([-2, 3, 1]);None;Some([-2, 2, 1, 0, 0, 0, 0, 3]);None;None;None;Some([-2, 3, 1, 0, 0, 0, 0, 2]);Some([-2, 3, 1, 0, 0, 0, 1, 2]);Some([-1, 2, 1, 0, 0, 0, 0, 1]);Some([-1, 2, 2]);None
86.424;0/1;0/1;0/1;75/64;5/4;0/1;0/1;0/1;0/1;27/16;0/1;0/1;None;None;None;Some([-1, 1, 2]);Some([0, 0, 1]);None;None;None;None;Some([-1, 3]);None;None
88.199;125/128;0/1;0/1;0/1;0/1;0/1;0/1;0/1;25/16;0/1;225/128;0/1;Some([-1, 0, 3]);None;None;None;None;None;None;None;Some([0, 0, 2]);None;Some([-1, 2, 2]);None
92.576;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;0/1;425/256;0/1;0/1;None;None;None;None;None;None;None;None;None;Some([0, 0, 2, 0, 0, 0, 1]);None;None
93.242;0/1;15/14;0/1;135/112;0/1;0/1;0/1;165/112;0/1;0/1;0/1;0/1;None;Some([0, 1, 1, -1]);None;Some([-1, 3, 1, -1]);None;None;None;Some([0, 1, 1, -1, 1]);None;None;None;None
93.309;63/64;0/1;9/8;19/16;81/64;0/1;0/1;189/128;0/1;27/16;0/1;0/1;Some([-2, 2, 0, 1]);None;Some([-1, 2]);Some([0, 0, 0, 0, 0, 0, 0, 1]);Some([-2, 4]);None;None;Some([-2, 3, 0, 1]);None;Some([-1, 3]);None;None
